For 4x4 inputs
Nodes expanded,Size of frontier,Number of steps,Time taken
Euclidean
3128,3254,30,0.113
7687,7467,27,0.264
1185,1184,25,0.039
3575,3587,23,0.121
130,158,19,0.004
7371,6697,29,0.248
2188,2176,24,0.079
2361,2397,22,0.08
1010,986,20,0.032
1697,1683,26,0.056
5349,5265,28,0.181
323,349,21,0.01
83,101,18,0.003
32,37,13,0.001
125,155,17,0.004
27,32,16,0.001
186,193,15,0.006
35,44,14,0.001
101,116,12,0.003
11,13,11,0.0
15,18,10,0.0
9,11,9,0.0
12,18,8,0.0
7,12,7,0.0
7,10,6,0.0
5,9,5,0.0
4,8,4,0.0
3,4,3,0.0
2,5,2,0.0
Max(Relaxed Adjacency, Manhattan)
687,727,30,0.038
1953,1865,27,0.107
428,432,25,0.022
1536,1560,23,0.084
82,101,19,0.004
1417,1369,29,0.076
424,423,24,0.022
630,623,22,0.035
348,356,20,0.018
272,284,26,0.015
732,754,28,0.039
63,79,21,0.003
25,31,18,0.001
18,24,13,0.001
28,39,17,0.002
21,25,16,0.001
149,163,15,0.008
27,35,14,0.002
76,93,12,0.004
11,13,11,0.001
10,12,10,0.001
9,11,9,0.001
12,18,8,0.001
7,12,7,0.001
6,9,6,0.0
5,9,5,0.0
4,8,4,0.0
3,4,3,0.0
2,5,2,0.0
Linear Conflict
244,262,30,0.036
1001,996,27,0.162
218,218,25,0.04
588,595,23,0.104
45,57,19,0.008
572,541,29,0.088
312,325,24,0.052
391,397,22,0.066
224,232,20,0.037
89,104,26,0.015
294,302,28,0.043
52,67,21,0.009
23,29,18,0.004
18,24,13,0.003
28,39,17,0.005
21,25,16,0.003
109,126,15,0.021
21,28,14,0.004
60,74,12,0.012
11,13,11,0.002
10,12,10,0.002
9,11,9,0.002
12,18,8,0.003
7,12,7,0.001
6,9,6,0.001
5,9,5,0.001
4,8,4,0.001
3,4,3,0.001
2,5,2,0.001
For 5x5 inputs
Nodes expanded,Size of frontier,Number of steps,Time taken
Euclidean
2002,2478,28,0.104
465,629,20,0.027
694,923,30,0.038
1926,2303,25,0.095
3541,4341,23,0.187
754,945,27,0.04
5106,6290,29,0.265
294,386,26,0.014
69,96,24,0.003
372,482,18,0.018
98,143,22,0.005
77,98,19,0.004
707,866,21,0.035
9,13,7,0.0
266,372,17,0.013
286,373,16,0.014
15,26,15,0.001
22,27,14,0.001
13,18,13,0.001
17,26,12,0.001
11,14,11,0.001
13,19,10,0.001
11,14,9,0.001
11,11,8,0.0
6,8,6,0.0
5,9,5,0.0
4,9,4,0.0
3,7,3,0.0
2,5,2,0.0
Max(Relaxed Adjacency, Manhattan)
419,527,28,0.034
121,176,20,0.01
48,63,30,0.004
539,678,25,0.042
842,1063,23,0.069
105,124,27,0.008
387,495,29,0.032
39,57,26,0.003
24,41,24,0.002
286,373,18,0.022
30,47,22,0.003
25,37,19,0.002
206,272,21,0.016
8,12,7,0.001
125,175,17,0.011
150,217,16,0.013
15,26,15,0.001
14,20,14,0.001
13,18,13,0.001
12,19,12,0.001
11,14,11,0.001
10,16,10,0.001
11,14,9,0.001
8,9,8,0.001
6,8,6,0.001
5,9,5,0.0
4,9,4,0.0
3,7,3,0.0
2,5,2,0.0
Linear Conflict
361,464,28,0.106
76,109,20,0.023
40,53,30,0.011
243,324,25,0.078
708,879,23,0.218
58,73,27,0.017
282,358,29,0.08
37,53,26,0.012
24,41,24,0.008
195,259,18,0.061
29,45,22,0.009
25,37,19,0.008
160,219,21,0.052
8,12,7,0.003
121,175,17,0.042
93,136,16,0.033
15,26,15,0.005
14,20,14,0.004
13,18,13,0.005
12,19,12,0.004
11,14,11,0.003
10,16,10,0.004
10,14,9,0.003
8,9,8,0.002
6,8,6,0.002
5,9,5,0.002
4,9,4,0.002
3,7,3,0.001
2,5,2,0.001
